ShuffleSteps,0;1,1;1,1;2,1;3,1;4,1;5,2;3,2;4,2;5,3;4,3;5,4;5
5,11,11,11,11,11,11,11,11,11,11,11,11
10,23,23,23,23,23,23,23,23,23,23,23,23
15,39,39,39,39,39,39,39,39,39,39,39,39
20,380,80,101,136,151,186,88,101,119,88,93,88
25,93,114,71,82,84,84,83,71,77,91,81,106
30,646,302,512,1333,2521,2227,316,512,1164,176,251,168
35,4509,1749,6829,6164,4564,5199,2778,6829,9343,2037,3884,1768
40,7320,154664,82242,318432,362869,366697,37770,82242,147947,35588,52623,31972
45,58716,240678,27899,112358,12420,463758,11222,27899,32771,30978,8940,45820
50,1972165,41881,9901,3158,1845766,12358,8750,9901,78798,22701,9449,35522
