ShuffleSteps,0;1,1;1,1;2,1;3,1;4,1;5,2;3,2;4,2;5,3;4,3;5,4;5
5,5,5,5,5,5,5,5,5,5,5,5,5
10,22,10,10,10,10,22,10,10,10,10,10,10
15,59,15,15,15,15,15,15,15,15,15,15,15
20,32,18,20,20,20,28,18,20,20,18,20,18
25,195,25,27,39,47,47,27,27,27,25,27,25
30,84,26,28,36,36,40,28,28,36,28,28,28
35,201,35,35,41,49,57,35,35,39,35,35,35
40,96,28,34,38,38,38,32,34,38,28,34,28
45,187,33,39,49,61,69,39,39,43,39,39,35
50,164,40,42,52,62,68,40,42,46,40,42,40
