ShuffleSteps,0;1,1;1,1;2,1;3,1;4,1;5,2;3,2;4,2;5,3;4,3;5,4;5
5,12,12,12,12,12,12,12,12,12,12,12,12
10,131,32,52,90,141,165,37,52,75,37,37,37
15,890,51,40,40,40,40,40,40,40,40,40,40
20,181,427,410,548,945,1143,554,410,414,561,493,557
25,10328,838,236,2160,5306,6172,292,236,1539,421,119,311
30,608,4452,1014,1736,1768,1222,2879,1014,5823,5293,1324,6869
35,3210,231832,4214,1632,3287,3093,31166,4214,8787,62959,16452,102652
40,1380,372,1439,910,986,1344,1015,1439,961,947,1283,492
45,5927,25434,19695,4880,10765,1957,31250,19695,3649,56912,19665,52746
50,3987,319406,14223,7634,15427,5146,32136,14223,2755,53985,26861,83249
