ShuffleSteps,0;1,1;1,1;2,1;3,1;4,1;5,2;3,2;4,2;5,3;4,3;5,4;5
5,5,5,5,5,5,5,5,5,5,5,5,5
10,12,10,12,12,12,12,10,12,12,10,10,10
15,15,15,15,15,15,15,15,15,15,15,15,15
20,20,20,20,20,20,20,20,20,20,20,20,20
25,471,21,27,31,31,31,21,27,31,21,21,21
30,252,26,28,38,38,38,28,28,38,28,28,28
35,231,31,39,47,49,49,37,39,45,31,33,31
40,108,34,34,34,34,34,34,34,34,34,34,34
45,387,37,45,49,51,51,37,45,45,37,37,37
50,512,50,66,90,100,102,56,66,74,54,56,52
