ShuffleSteps,0;1,1;1,1;2,1;3,1;4,1;5,2;3,2;4,2;5,3;4,3;5,4;5
5,5,5,5,5,5,5,5,5,5,5,5,5
10,10,10,10,10,10,10,10,10,10,10,10,10
15,19,15,15,19,19,19,15,15,19,15,15,15
20,20,20,20,20,20,20,20,20,20,20,20,20
25,947,25,29,29,29,29,25,29,29,25,25,25
30,126,30,38,52,60,56,34,38,46,30,38,30
35,411,35,47,73,77,77,35,47,47,35,39,35
40,360,36,36,50,56,68,36,36,36,36,36,36
45,187,41,45,73,71,87,45,45,65,43,47,43
50,298,46,50,82,88,88,46,50,68,46,46,46
