ShuffleSteps,0;1,1;1,1;2,1;3,1;4,1;5,2;3,2;4,2;5,3;4,3;5,4;5
5,12,12,12,12,12,12,12,12,12,12,12,12
10,24,24,24,24,24,24,24,24,24,24,24,24
15,70,98,101,69,63,63,65,101,84,65,80,65
20,49,49,49,49,49,49,49,49,49,49,49,49
25,3053344,715,2899,3075,5573,18333,1165,2899,1793,995,1664,805
30,2959,3026,8157,18319,29539,132486,5457,8157,15412,2909,2490,1773
35,46493,2108,6274,166322,35503,11638,3517,6274,65685,2276,10861,1602
40,13950,130458,2829,33320,9043,6895,9315,2829,12061,7396,13037,12540
45,7079,94580,647436,541480,300647,221523,38887,647436,4645440,93440,45211,147858
50,22147,588567,7858,117302,15033,9846,45114,7858,109821,45095,28070,67773
